OBJECTID,FMCDR,Cnt_FMCDR
-1, ,11
-1,00840,8
-1,01260,401
-1,01280,479
-1,09240,19
-1,13700,656
-1,15200,346
-1,16720,251
-1,17440,19
-1,17980,10
-1,22680,629
-1,22740,288
-1,27740,114
-1,28120,413
-1,31240,2
-1,31360,433
-1,31840,17
-1,35720,446
-1,37460,420
-1,38640,609
-1,39200,354
-1,41520,4
-1,45180,653
-1,46600,484
-1,46760,536
-1,"49,45",2
-1,50840,301
-1,52000,320
-1,55200,356
-1,60980,20
-1,61620,282
-1,61640,493
-1,61820,353
-1,62460,6
-1,64280,10
-1,64740,342
-1,66260,22
-1,71100,603
-1,71700,171
-1,71720,605
-1,74980,11
-1,75000,10
-1,79620,19
-1,80620,258
-1,8150,1
-1,81580,276
-1,84580,289
-1,84880,237
-1,84900,395
-1,89020,39
-1,89280,5
-1,F,1